year,value,type
2000,5.6,ML_0
2001,5.2,ML_0
2002,5.4,ML_0
2003,5.1,ML_0
2004,6.1,ML_0
2005,4.8,ML_0
2006,4.7,ML_0
2007,4.2,ML_0
2008,4.1,ML_0
2009,4.5,ML_0
2010,5.2,ML_0
2011,4.2,ML_0
2012,5.1,ML_0
2013,4.8,ML_0
2014,5.1,ML_0
2015,6.4,ML_0
2016,6.6,ML_0
2017,6.5,ML_0
2018,7.2,ML_0
2019,4.1,ML_0
2020,6.7,ML_0
2021,5.5,ML_0
2003,16.3,ML_1
2004,15.2,ML_1
2005,18.3,ML_1
2006,14.4,ML_1
2007,14.1,ML_1
2008,12.5,ML_1
2009,12.2,ML_1
2010,13.5,ML_1
2011,15.6,ML_1
2012,12.5,ML_1
2013,15.3,ML_1
2014,14.3,ML_1
2015,15.4,ML_1
2016,19.1,ML_1
2017,19.8,ML_1
2018,19.5,ML_1
2019,21.5,ML_1
2020,12.3,ML_1
2021,16.4,ML_1
